,car_brand,car_model,car_year,car_mileage,car_price,source
428,NISSAN,SUPER SENTRA ,2015,85531,378000,SUM
429,TOYOTA,ALTIS ,2010,173794,288000,SUM
430,TOYOTA,C-HR,2018,69730,788000,SUM
431,HYUNDAI,ELANTRA EX ,2015,82931,468000,SUM
433,BENZ,GLA-CLASS X156 ,2016,43255,1220000,SUM
434,MITSUBISHI,OUTLANDER ,2016,107159,498000,SUM
435,HYUNDAI,ELANTRA EX ,2015,38071,419000,SUM
437,HYUNDAI,ELANTRA EX ,2015,64922,468000,SUM
438,NISSAN,LIVINA,2018,63983,408000,SUM
439,SUZUKI,SWIFT ,2016,31577,478000,SUM
440,MINI,COUNTRYMAN ,2017,25725,1098000,SUM
441,SUZUKI,SWIFT ,2015,33696,448000,SUM
442,TOYOTA,RAV4 ,2017,48349,768000,SUM
443,LUXGEN,LUXGEN7 SUV 2.2T,2011,117692,198000,SUM
444,HYUNDAI,SUPER ELANTRA ,2019,10599,579000,SUM
445,MAZDA,CX-5,2013,109425,538000,SUM
446,MITSUBISHI,COLT PLUS ,2014,75000,258000,SUM
447,MITSUBISHI,OUTLANDER ,2018,68487,738000,SUM
448,MITSUBISHI,COLT PLUS ,2009,182000,158000,SUM
449,LUXGEN,LUXGEN7 SUV 2.2T,2011,64979,288000,SUM
450,MAZDA,MAZDA2,2014,61337,349000,SUM
452,VOLVO,S60,2017,40480,809000,SUM
453,HONDA,CIVIC ,2016,119031,458000,SUM
454,HONDA,CITY ,2016,14076,478000,SUM
455,VW,GOLF SPORTSVAN,2015,104144,439000,SUM
456,TOYOTA,RAV4 ,2013,119899,479000,SUM
457,LUXGEN,U5,2017,39000,388000,SUM
458,NISSAN,MARCH ,2018,6981,419000,SUM
459,TOYOTA,ALTIS ,2017,84342,465000,SUM
460,MAZDA,MAZDA 3 5D ,2017,48776,658000,SUM
461,LUXGEN,URX,2020,7404,798000,SUM
463,MAZDA,MAZDA2,2014,30836,339000,SUM
464,MITSUBISHI,LANCER FORTIS ,2016,87053,335000,SUM
465,MAZDA,CX-3,2017,34798,658000,SUM
466,HYUNDAI,ELANTRA EX ,2017,60906,429000,SUM
468,MITSUBISHI,ZINGER,2017,130628,398000,SUM
469,TOYOTA,ALTIS ,2019,12462,618000,SUM
470,MITSUBISHI,CANTER ,2017,89480,978000,SUM
471,LUXGEN,U5,2017,59946,378000,SUM
472,TOYOTA,ALTIS ,2016,59010,528000,SUM
