,car_brand,car_model,car_year,car_mileage,car_price,source
12476,TOYOTA,C-HR,2019,21000,798000,SUM
12477,MITSUBISHI,COLT PLUS ,2010,76650,178000,SUM
12478,MITSUBISHI,LANCER FORTIS ,2009,88346,258000,SUM
12479,HONDA,CR-V ,2016,59443,648000,SUM
12480,NISSAN,BIG TIIDA 5D ,2014,50975,388000,SUM
12481,BMW,5 SERIES SEDAN G30 ,2017,110300,1358000,SUM
12482,TOYOTA,C-HR,2018,40000,728000,SUM
12483,TOYOTA,INNOVA,2016,86760,398000,SUM
12484,NISSAN,LIVINA,2019,27917,429000,SUM
12485,MITSUBISHI,VERYCA 貨車,2016,131000,298000,SUM
12486,MITSUBISHI,LANCER FORTIS ,2011,86521,298000,SUM
12487,MITSUBISHI,SUPER DELICA,2017,111191,388000,SUM
12488,MAZDA,MAZDA 3 4D ,2014,179785,338000,SUM
12489,TOYOTA,VIOS ,2015,63301,358000,SUM
12490,NISSAN,MARCH ,2017,34284,368000,SUM
12491,SUZUKI,SUPER CARRY,2017,38631,328000,SUM
12492,FORD,ECOSPORT ,2018,69210,478000,SUM
12493,TOBE,M WAY,2013,70020,169000,SUM
12494,BENZ,CLA-CLASS,2015,132331,1168000,SUM
12495,LUXGEN,U6 TURBO ,2014,160808,368000,SUM
12496,HONDA,CITY ,2017,107624,418000,SUM
12497,MITSUBISHI,VERYCA廂車 ,2009,135000,198000,SUM
12498,HYUNDAI,KONA,2019,19311,768000,SUM
12499,HONDA,FIT ,2018,89000,518000,SUM
12500,BMW,X1 F48 ,2015,124972,959000,SUM
12501,TOYOTA,CAMRY ,2018,79117,589000,SUM
12502,MAZDA,MAZDA 5 ,2012,110000,438000,SUM
12503,MITSUBISHI,ZINGER,2016,50894,399000,SUM
12504,NISSAN,X-TRAIL ,2018,22577,638000,SUM
12505,BENZ,E-CLASS W212 ,2013,119000,828000,SUM
12506,HYUNDAI,SUPER ELANTRA ,2017,78700,488000,SUM
12507,HONDA,CIVIC,2013,130000,458000,SUM
12508,HONDA,FIT ,2009,140000,268000,SUM
12509,FORD,FOCUS 5D ,2017,63889,528000,SUM
12510,HYUNDAI,PORTER,2017,200000,455000,SUM
12511,HONDA,CIVIC,2013,110000,488000,SUM
12512,LUXGEN,S5GT,2019,10000,598000,SUM
12513,BENZ,C-CLASS SEDAN W205 ,2015,52393,1288000,SUM
12514,BENZ,E-CLASS W213 ,2017,24570,1798000,SUM
12515,BENZ,GLC-CLASS COUPE ,2017,64650,2038000,SUM
12516,FORD,FOCUS ,2009,166615,168000,SUM
12517,MITSUBISHI,OUTLANDER ,2012,102253,308000,SUM
12518,NISSAN,GRAND LIVINA ,2012,139915,278000,SUM
12519,BMW,5 SERIES SEDAN G30 ,2017,82521,1690000,SUM
12520,TOYOTA,VIOS ,2013,140000,268000,SUM
12521,MITSUBISHI,VERYCA 貨車,2018,45903,358000,SUM
12522,TOYOTA,WISH ,2012,149553,388000,SUM
12523,HONDA,CR-V ,2014,40000,618000,SUM
12524,MITSUBISHI,LANCER FORTIS ,2015,193047,330000,SUM
12525,TOYOTA,ALTIS ,2018,109000,538000,SUM
12526,HYUNDAI,SUPER ELANTRA ,2018,88208,458000,SUM
12527,NISSAN,TIIDA 5D ,2010,71467,288000,SUM
12528,VW,GOLF VARIANT 2015-,2018,13807,958000,SUM
12529,TOYOTA,VIOS ,2015,93525,338000,SUM
12530,NISSAN,SUPER SENTRA ,2015,104123,318000,SUM
12531,MITSUBISHI,VERYCA貨車 ,2012,185181,218000,SUM
12532,LUXGEN,U6 TURBO ECO HYPER ,2016,50000,538000,SUM
12533,MAZDA,MAZDA 5 ,2011,124985,328000,SUM
12534,TOYOTA,VIOS ,2013,98046,268000,SUM
12535,MITSUBISHI,OUTLANDER ,2010,188602,268000,SUM
12536,LUXGEN,U6 TURBO ,2015,90110,358000,SUM
12537,MITSUBISHI,OUTLANDER ,2017,110000,568000,SUM
12538,HONDA,HR-V,2018,87487,595000,SUM
12539,TOYOTA,ALTIS ,2012,47700,298000,SUM
12540,TOYOTA,ALTIS ,2011,64281,278000,SUM
12541,MITSUBISHI,VERYCA貨車 ,2009,240000,198000,SUM
12542,MITSUBISHI,DELICA貨車 ,2009,289287,188000,SUM
12543,LUXGEN,LUXGEN7 SUV 2.2T,2011,126484,258000,SUM
12544,FORD,ECONOVAN貨車,2009,64710,200000,SUM
12545,NISSAN,LIVINA,2017,71295,388000,SUM
12546,TOYOTA,INNOVA,2014,125999,310000,SUM
12547,VOLVO,V40 CROSS COUNTRY ,2017,55798,898000,SUM
12548,AUDI,A4 B8,2015,79666,629000,SUM
12549,TOYOTA,ALTIS ,2019,40000,648000,SUM
12550,TOYOTA,YARIS ,2017,37691,468000,SUM
12551,NISSAN,SUPER SENTRA ,2014,63351,358000,SUM
12552,NISSAN,KICKS,2019,49559,598000,SUM
12553,TOYOTA,CAMRY ,2018,80257,558000,SUM
12554,TOYOTA,VIOS ,2016,131221,428000,SUM
12555,LEXUS,RX ,2021,8,2238000,SUM
12556,FORD,FIESTA ,2014,145351,348000,SUM
12557,AUDI,A1,2016,88775,638000,SUM
12558,LUXGEN,U6 GT,2017,50000,628000,SUM
12559,SUZUKI,SOLIO,2009,130000,258000,SUM
12560,TOYOTA,ALTIS ,2018,45593,558000,SUM
12561,TOYOTA,YARIS ,2017,77600,468000,SUM
12562,HYUNDAI,SUPER ELANTRA ,2017,67000,468000,SUM
12563,BENZ,CLA-CLASS,2018,30389,1568000,SUM
12564,VW,GOLF VII,2017,47216,678000,SUM
12565,NISSAN,LIVINA,2016,110153,368000,SUM
12566,MITSUBISHI,VERYCA貨車 ,2009,241502,195000,SUM
12567,FORD,ESCAPE ,2013,110086,288000,SUM
12568,FORD,FIESTA 5D HATCHBACK,2013,180837,198000,SUM
12569,FORD,FOCUS 5D ,2018,22385,568000,SUM
12570,SUBARU,XV ,2017,78558,698000,SUM
12571,LUXGEN,LUXGEN7 SUV 2.2T,2013,150904,300000,SUM
12572,TOYOTA,VIOS ,2011,236000,198000,SUM
12573,TOYOTA,VIOS ,2009,191000,188000,SUM
12574,TOYOTA,ALTIS ,2012,202062,298000,SUM
12575,SUBARU,FORESTER ,2017,120000,738000,SUM
12576,HYUNDAI,PORTER,2018,17097,595000,SUM
12577,MITSUBISHI,VERYCA 廂車,2018,55147,358000,SUM
12578,TOYOTA,YARIS ,2016,106500,348000,SUM
12579,NISSAN,MARCH ,2015,90992,319000,SUM
12580,TOYOTA,VIOS ,2011,112274,198000,SUM
12581,BENZ,GLC-CLASS ,2018,25812,1858000,SUM
12582,NISSAN,BIG TIIDA 5D ,2014,98000,376000,SUM
12583,BMW,5 SERIES TOURING G31,2017,48231,1680000,SUM
12584,LUXGEN,LUXGEN7 SUV 2.2T,2012,111013,248000,SUM
12585,MITSUBISHI,CANTER02,2015,121199,810000,SUM
12586,MITSUBISHI,ZINGER,2017,114287,398000,SUM
12587,NISSAN,TIIDA 5D ,2010,278761,198000,SUM
12588,HONDA,CR-V ,2012,120000,318000,SUM
12589,HYUNDAI,SUPER ELANTRA ,2017,30000,578000,SUM
12590,TOYOTA,SIENTA,2017,131276,458000,SUM
12591,HONDA,FIT ,2020,9,618000,SUM
12592,HYUNDAI,IX35,2012,95091,358000,SUM
12593,SUZUKI,VITARA ,2017,44419,588000,SUM
12594,MITSUBISHI,ZINGER,2014,185342,238000,SUM
12595,MITSUBISHI,ZINGER,2018,32347,428000,SUM
12596,MITSUBISHI,COLT PLUS ,2011,167819,208000,SUM
12597,MITSUBISHI,VERYCA貨車 ,2011,182163,238000,SUM
12598,MITSUBISHI,VERYCA 貨車,2016,87951,345000,SUM
12599,HYUNDAI,IX35,2012,82037,298000,SUM
12600,BENZ,GLC-CLASS ,2016,41844,1700000,SUM
12601,PORSCHE,PANAMERA 2017-,2019,6000,5588000,SUM
12602,SUZUKI,SUPER CARRY,2015,38189,328000,SUM
12603,TOYOTA,ALTIS ,2017,56848,538000,SUM
12604,HYUNDAI,IX35,2015,86115,468000,SUM
12605,BMW,5 SERIES SEDAN G30 ,2018,44000,1890000,SUM
12606,BENZ,C-CLASS SEDAN W205 ,2015,72000,1490000,SUM
12607,NISSAN,TIIDA 4D,2009,147000,168000,SUM
12608,BMW,3 SERIES SEDAN F30,2019,29000,1770000,SUM
12609,MAZDA,MAZDA 5 ,2014,104028,438000,SUM
12610,TOYOTA,YARIS ,2020,3045,518000,SUM
12611,BENZ,CLA-CLASS SHOOTING BRAKE ,2015,45680,1168000,SUM
12612,HYUNDAI,IX35,2013,48503,388000,SUM
12613,VW,GOLF VII,2020,11000,868000,SUM
12614,MAZDA,MAZDA 3 4D ,2012,137554,288000,SUM
12615,KIA,PICANTO,2018,45809,468000,SUM
12616,VW,T5 CARAVELLE LWB,2018,63142,1158000,SUM
12617,HYUNDAI,LAVITA,2009,128230,168000,SUM
12618,FORD,FIESTA ,2017,90147,438000,SUM
12619,MAZDA,MAZDA 3 ,2009,343197,268000,SUM
12620,LUXGEN,U6 TURBO ,2014,154807,368000,SUM
12621,BENZ,A-CLASS W177,2018,10983,1608000,SUM
12622,MITSUBISHI,VERYCA 貨車,2017,67627,348000,SUM
12623,MAZDA,MAZDA 3 5D ,2012,100000,388000,SUM
12624,MITSUBISHI,VERYCA廂車 ,2009,179730,178000,SUM
12625,SUZUKI,JIMNY,2021,23,888000,SUM
12626,MITSUBISHI,VERYCA 廂車,2017,45696,448000,SUM
12627,MAZDA,MAZDA 3 5D ,2012,158138,328000,SUM
12628,NISSAN,JUKE,2015,88537,488000,SUM
12629,MAZDA,MAZDA 3 5D ,2016,129500,558000,SUM
12630,TOYOTA,RAV4 ,2013,141826,498000,SUM
12631,MITSUBISHI,COLT PLUS IO ,2013,83662,258000,SUM
12632,MITSUBISHI,LANCER IO ,2014,65220,388000,SUM
12633,HYUNDAI,ELANTRA EX ,2015,169000,378000,SUM
12634,MITSUBISHI,COLT PLUS ,2015,100000,318000,SUM
12635,FORD,FOCUS 4D,2015,80000,358000,SUM
12636,TOYOTA,ALTIS ,2016,39369,518000,SUM
12637,BENZ,GLC-CLASS ,2016,122433,1488000,SUM
12638,MITSUBISHI,VERYCA 廂車,2017,81641,335000,SUM
12639,MAZDA,CX-5,2013,130000,588000,SUM
12640,LUXGEN,S5 TURBO ECO HYPER,2018,30000,458000,SUM
12641,NISSAN,TEANA ,2010,120992,218000,SUM
12642,LUXGEN,LUXGEN7 SUV 2.2T,2013,95874,328000,SUM
12643,LUXGEN,U6 TURBO ,2014,88677,398000,SUM
12644,NISSAN,LIVINA,2015,100000,328000,SUM
12645,BENZ,C-CLASS SEDAN W205 ,2017,50000,1980000,SUM
12646,NISSAN,BIG TIIDA 5D ,2013,97000,359000,SUM
12647,HONDA,HR-V,2018,71427,648000,SUM
12648,MITSUBISHI,VERYCA貨車 ,2011,133790,238000,SUM
