,BRANDNM,CARTYPENM,CARYY,KM,SALAMT,source
3397,M-BENZ,ML350,2010,264664,680000,HOT
3398,M-BENZ,C63 AMG,2008,87221,800000,HOT
3399,BMW,520D,2015,81708,998000,HOT
3400,M-BENZ,C300,2015,70079,988000,HOT
3401,M-BENZ,GLC 300,2017,75279,1690000,HOT
3402,LEXUS,IS250,2010,145078,538000,HOT
3403,BMW,730,2011,99805,768000,HOT
3404,SUZUKI,SWIFT,2006,148877,178000,HOT
3405,BMW,X1,2011,180330,538000,HOT
3406,FORD,FOCUS 五門,2012,130402,258000,HOT
3407,TOYOTA,CAMRY,2008,216314,268000,HOT
3408,TOYOTA,86,2015,90906,898000,HOT
3409,LAND ROVER,FREELANDER 2,2010,132442,528000,HOT
3410,BMW,335I,2008,93294,579000,HOT
3411,TOYOTA,YARIS,2007,214262,228000,HOT
3412,TOYOTA,VIOS,2007,71370,198000,HOT
3413,TOYOTA,ALTIS,2008,155055,268000,HOT
3414,TOYOTA,ALTIS,2007,97326,218000,HOT
3415,TOYOTA,VIOS,2006,144190,138000,HOT
3416,MITSUBISHI,CANTER,2012,74203,699000,HOT
3417,M-BENZ,GLK350,2011,112810,628000,HOT
3418,VOLVO,V40,2015,142264,568000,HOT
3419,MAZDA,MAZDA 3,2010,136828,230000,HOT
3420,AUDI,A4,2013,71483,850000,HOT
3421,TOYOTA,ALTIS,2008,188697,208000,HOT
3422,VOLVO,XC90,2004,182615,178000,HOT
3423,BMW,M3 SEDAN,2018,48162,3280000,HOT
3424,MITSUBISHI,DELICA,2006,148645,288000,HOT
3425,MITSUBISHI,SAVRIN,2005,171153,108000,HOT
3426,BMW,X5,2009,98621,560000,HOT
3427,VOLKSWAGEN,T6 CARAVELLE,2016,138105,958000,HOT
3428,BMW,328I,2012,158076,800000,HOT
3429,BMW,328I,2014,114597,990000,HOT
3430,BMW,528I,2014,121871,1200000,HOT
3431,M-BENZ,CLA250,2019,8051,2200000,HOT
3432,BMW,528I,2013,74379,8800000,HOT
3433,M-BENZ,C250,2011,161186,750000,HOT
3434,FORD,FOCUS 五門,2015,66259,398000,HOT
3435,TOYOTA,ALTIS,2009,129837,265000,HOT
3436,M-BENZ,GLC 300,2019,42322,1878000,HOT
3437,TOYOTA,YARIS,2016,98272,428000,HOT
3438,HYUNDAI,ELANTRA,2014,116731,428000,HOT
3439,LEXUS,IS300h,2014,75769,998000,HOT
3440,MITSUBISHI,VERYCA,2019,23231,465000,HOT
3441,VOLKSWAGEN,GOLF,2013,104146,498000,HOT
3442,TOYOTA,ALTIS,2012,225036,268000,HOT
3443,TOYOTA,YARIS,2016,75721,438000,HOT
3444,TOYOTA,VIOS,2015,147451,318000,HOT
3445,MAZDA,MAZDA 2,2013,158019,298000,HOT
3446,TOYOTA,CAMRY,2018,39167,670000,HOT
3447,BMW,320I,2006,255503,288000,HOT
3448,TOYOTA,ALTIS,2011,117942,438000,HOT
3449,TOYOTA,CAMRY HYBRID,2013,107390,388000,HOT
3450,M-BENZ,C250,2013,153668,758000,HOT
3451,NISSAN,X-TRAIL,2005,129678,108000,HOT
3452,NISSAN,LIVINA,2011,108157,270000,HOT
3453,M-BENZ,E200K,2002,203806,258000,HOT
3454,VOLVO,XC60,2009,169713,498000,HOT
3455,HYUNDAI,PORTER,2019,23827,765000,HOT
3456,TOYOTA,SIENTA,2019,37193,558000,HOT
3457,TOYOTA,YARIS,2016,93868,358000,HOT
3458,TOYOTA,WISH,2006,173665,229000,HOT
3459,BMW,3 SERIES COUPE,2005,198966,198000,HOT
3460,INFINITI,FX35,2006,296814,188000,HOT
3461,TOYOTA,CAMRY,2017,109388,598000,HOT
3462,BMW,320I,2010,151198,389000,HOT
3463,M-BENZ,C250,2013,115036,750000,HOT
3464,M-BENZ,C250,2013,95312,788000,HOT
3465,VOLKSWAGEN,GOLF PLUS,2006,121467,168000,HOT
3466,TOYOTA,ALTIS,2013,194038,480000,HOT
3467,NISSAN,SENTRA,2014,237869,370000,HOT
3468,TOYOTA,CAMRY,2017,30512,588000,HOT
3469,SUZUKI,JIMNY,2004,169577,228000,HOT
3470,TOYOTA,ALTIS,2013,125460,318000,HOT
3471,M-BENZ,A250,2017,29455,1430000,HOT
3472,M-BENZ,C300,2014,93374,1280000,HOT
3473,VOLKSWAGEN,GOLF GTI,2006,107309,298000,HOT
3474,TOYOTA,CAMRY,2005,178531,198000,HOT
3475,TOYOTA,ALTIS,2012,107504,315000,HOT
3476,MAZDA,MAZDA 3,2018,26967,728000,HOT
3477,MAZDA,MX-5,2018,22594,1180000,HOT
3478,VOLKSWAGEN,GOLF GTI,2019,38330,1350000,HOT
3479,SUZUKI,SOLIO,2005,128281,116000,HOT
3480,MITSUBISHI,SAVRIN,2004,171968,118000,HOT
3481,SKODA,YETI,2011,100027,398000,HOT
3482,FORD,FOCUS 五門,2016,88137,498000,HOT
3483,HONDA,HR-V,2018,69478,628000,HOT
3484,HONDA,FIT,2009,176741,278000,HOT
3485,TOYOTA,VIOS,2016,98354,328000,HOT
3486,TOYOTA,YARIS,2013,131300,378000,HOT
3487,TOYOTA,ALTIS,2015,167029,438000,HOT
3488,TOYOTA,YARIS,2012,68414,358000,HOT
3489,MINI,COUNTRYMAN S,2014,92926,888000,HOT
3490,M-BENZ,GLC 300,2020,3301,2298000,HOT
3491,MAZDA,MAZDA 5,2015,103986,385000,HOT
3492,BMW,X5,2011,131562,820000,HOT
3493,MITSUBISHI,SAVRIN,2010,162505,268000,HOT
3494,HYUNDAI,MATRIX,2004,147412,128000,HOT
3495,TOYOTA,ALTIS,2014,116797,458000,HOT
3496,BMW,X5,2015,102880,1345000,HOT
3497,FORD,MUSTANG,2018,58235,1390000,HOT
3498,TOYOTA,VIOS,2007,66245,169000,HOT
3499,TOYOTA,RAV4,2009,150081,338000,HOT
3500,HYUNDAI,GETZ,2007,159643,128000,HOT
3501,MITSUBISHI,VERYCA,2016,41286,335000,HOT
3502,MAZDA,PREMACY,2005,148056,168000,HOT
3503,MAZDA,MAZDA 3,2007,172563,238000,HOT
3504,TOYOTA,YARIS,2011,40641,350000,HOT
3505,MAZDA,MAZDA 6,2006,166981,158000,HOT
3506,BMW,525I,2006,160410,368000,HOT
3507,M-BENZ,V-CLASS,2019,32695,1880000,HOT
3508,SUZUKI,SWIFT,2008,119530,268000,HOT
3509,BMW,523I,2011,165169,658000,HOT
3510,BMW,530I,2004,200687,328000,HOT
3511,MITSUBISHI,VERYCA,2020,11372,515000,HOT
3512,TOYOTA,INNOVA,2014,131587,315000,HOT
3513,TOYOTA,CAMRY,2017,19613,598000,HOT
3514,TOYOTA,WISH,2012,185459,338000,HOT
3515,PORSCHE,MACAN,2015,49089,1990000,HOT
3516,PEUGEOT,308,2011,73809,358000,HOT
3517,BMW,740,2015,106990,1800000,HOT
3518,AUDI,TT,2010,156149,720000,HOT
3519,AUDI,A6,2012,179907,480000,HOT
3520,BMW,530,2017,80224,1750000,HOT
3521,M-BENZ,C300,2015,89293,1200000,HOT
3522,MINI,COOPER,2004,109235,238000,HOT
3523,TOYOTA,YARIS,2009,163392,280000,HOT
3524,BMW,523I,2011,171635,698000,HOT
3525,BMW,323I,2007,90128,428000,HOT
3526,MAZDA,MAZDA 6,2015,84054,598000,HOT
3527,TOYOTA,ALTIS,2015,58054,498000,HOT
3528,VOLKSWAGEN,GOLF,2010,158966,288000,HOT
3529,NISSAN,MARCH,2016,55763,358000,HOT
3530,VOLKSWAGEN,TIGUAN,2010,182920,348000,HOT
3531,DFSK,FUWIN,2020,11935,515000,HOT
3532,BMW,520D,2006,161760,300000,HOT
3533,TOYOTA,PREVIA,2007,195555,325000,HOT
3534,LEXUS,IS250,2006,130186,328000,HOT
3535,TOYOTA,YARIS,2008,113785,238000,HOT
3536,TOYOTA,ALTIS,2012,177953,269000,HOT
3537,LUXGEN,U5,2017,59946,378000,HOT
3538,FORD,ESCAPE,2007,153114,158000,HOT
3539,TOYOTA,VIOS,2016,114271,298000,HOT
3540,FORD,FOCUS 五門,2013,157672,388000,HOT
3541,TOYOTA,ALTIS,2006,173955,130000,HOT
3542,TOYOTA,ALTIS,2011,198251,250000,HOT
3543,LUXGEN,U6 TURBO,2014,67022,438000,HOT
3544,LEXUS,ES200,2020,17318,1380000,HOT
3545,NISSAN,TIIDA,2014,112288,338000,HOT
3546,TOYOTA,VIOS,2007,101887,168000,HOT
3547,TOYOTA,YARIS,2008,128524,238000,HOT
3548,TOYOTA,ALTIS,2012,145183,368000,HOT
3549,NISSAN,LIVINA,2012,50091,258000,HOT
3550,M-BENZ,GLC 300,2017,50467,1550000,HOT
3551,M-BENZ,E200,2010,208975,638000,HOT
3552,TOYOTA,ALTIS,2014,98228,428000,HOT
3553,TOYOTA,RAV4,2016,122023,698000,HOT
3554,ISUZU,ELF,2007,388589,358000,HOT
3555,NISSAN,LIVINA,2007,185493,188000,HOT
3556,MAZDA,MAZDA 3,2016,46540,630000,HOT
3557,M-BENZ,C280,2007,193505,668000,HOT
3558,HYUNDAI,ELANTRA,2016,160790,388000,HOT
3559,VOLKSWAGEN,BEETLE,2010,117847,250000,HOT
3560,NISSAN,TIIDA 5門,2011,215455,218000,HOT
3561,HONDA,ACCORD,2007,139399,220000,HOT
3562,FORD,FOCUS 四門,2009,151838,218000,HOT
3563,NISSAN,MARCH,2007,111163,138000,HOT
3564,VOLKSWAGEN,GOLF,2009,109707,288000,HOT
3565,NISSAN,LIVINA,2014,238398,338000,HOT
3566,MITSUBISHI,FORTIS,2009,189686,258000,HOT
3567,SUZUKI,SX4,2009,86874,248000,HOT
3568,TOYOTA,RAV4,2013,57187,658000,HOT
3569,SUZUKI,CARRY,2017,92593,358000,HOT
3570,BMW,116I,2012,148286,588000,HOT
3571,TOYOTA,VIOS,2015,19610,328000,HOT
3572,MITSUBISHI,CANTER,2015,212196,765000,HOT
3573,TOYOTA,VIOS,2004,157715,128000,HOT
3574,PEUGEOT,308,2011,130247,298000,HOT
3575,TOYOTA,ALTIS,2012,130414,288000,HOT
3576,MITSUBISHI,ZINGER,2011,158771,258000,HOT
3577,HYUNDAI,SANTA FE,2012,271885,598000,HOT
3578,FORD,ESCAPE,2013,153805,288000,HOT
3579,FORD,FOCUS,2011,146086,368000,HOT
3580,SUZUKI,CARRY,2015,108097,338000,HOT
3581,LUXGEN,U7 TURBO,2013,94422,358000,HOT
3582,HYUNDAI,IX35,2012,125222,368000,HOT
3583,TOYOTA,ALTIS,2012,173107,278000,HOT
3584,FORD,KUGA,2015,108564,518000,HOT
3585,HONDA,HR-V,2017,89823,578000,HOT
3586,VOLKSWAGEN,GOLF GTI,2005,82459,268000,HOT
3587,M-BENZ,E200,2014,114569,929000,HOT
3588,TOYOTA,ALTIS,2010,171749,238000,HOT
3589,TOYOTA,YARIS,2016,88701,408000,HOT
3590,HONDA,FIT,2009,131036,370000,HOT
3591,SUBARU,WRX,2016,86873,908000,HOT
3592,MITSUBISHI,CANTER,2016,164632,768000,HOT
3593,BMW,730,2011,103035,788000,HOT
3594,DODGE,CHALLENGER,2011,146359,980000,HOT
3595,HYUNDAI,ELANTRA,2020,10,819000,HOT
3596,SUZUKI,SWIFT,2007,151861,250000,HOT
3597,TOYOTA,CAMRY,2006,236085,188000,HOT
3598,HYUNDAI,ELANTRA,2015,51101,420000,HOT
3599,VOLKSWAGEN,TIGUAN,2012,111909,419000,HOT
3600,TOYOTA,ALTIS,2017,41928,508000,HOT
3601,M-BENZ,C300,2015,118514,1200000,HOT
3602,TOYOTA,RAV4,2018,55270,808000,HOT
3603,MITSUBISHI,ZINGER,2015,86162,318000,HOT
3604,TOYOTA,ALTIS,2008,210605,218000,HOT
3605,MAZDA,MAZDA 5,2015,32378,558000,HOT
3606,TOYOTA,WISH,2007,194869,258000,HOT
3607,DAIHATSU,SIRION,2011,106248,248000,HOT
3608,BMW,730,2008,97292,555000,HOT
3609,MAZDA,MAZDA 3,2013,66298,368000,HOT
3610,BMW,318I,2004,91581,178000,HOT
3611,MAZDA,MAZDA 3,2017,25425,598000,HOT
3612,TOYOTA,RAV4,2017,108748,720000,HOT
3613,TOYOTA,VIOS,2006,145830,168000,HOT
3614,BMW,318,2013,186729,828000,HOT
3615,HYUNDAI,ELANTRA,2016,101948,438000,HOT
3616,NISSAN,X-TRAIL,2017,85767,578000,HOT
3617,AUDI,A3 SPORTBACK,2019,9392,1090000,HOT
3618,MITSUBISHI,ZINGER,2009,235503,198000,HOT
3619,MITSUBISHI,OUTLANDER,2012,171928,298000,HOT
3620,MITSUBISHI,VERYCA,2015,84219,285000,HOT
3621,TOYOTA,COROLLA CROSS HYBRID,2020,2487,938000,HOT
3622,MITSUBISHI,DELICA,2014,93580,328000,HOT
3623,M-BENZ,C300,2016,68339,1380000,HOT
3624,NISSAN,X-TRAIL,2018,49080,638000,HOT
3625,NISSAN,LIVINA,2019,38439,660000,HOT
3626,M-BENZ,CLA-CLASS,2015,66683,1198000,HOT
3627,M-BENZ,GLC 300,2016,49057,1498000,HOT
3628,HYUNDAI,ELANTRA,2015,130962,468000,HOT
3629,FORD,FOCUS 四門,2014,26421,338000,HOT
3630,TOYOTA,YARIS,2015,87874,428000,HOT
3631,TOYOTA,VIOS,2017,72627,358000,HOT
3632,VOLKSWAGEN,GOLF,2005,182929,168000,HOT
3633,MAZDA,MAZDA 5,2012,134973,298000,HOT
3634,TOYOTA,YARIS,2011,189528,288000,HOT
3635,FORD,I-MAX,2010,211323,260000,HOT
3636,NISSAN,TIIDA,2013,120045,388000,HOT
3637,TOYOTA,ALTIS,2010,153106,278000,HOT
3638,TOYOTA,ALTIS,2012,126800,328000,HOT
3639,PORSCHE,CAYENNE,2012,56130,1190000,HOT
3640,TOYOTA,VIOS,2009,198834,198000,HOT
3641,HONDA,CR-V,2011,195481,350000,HOT
3642,MITSUBISHI,OUTLANDER,2009,147951,298000,HOT
3643,TOYOTA,VIOS,2016,118010,289000,HOT
3644,TOYOTA,CAMRY,2014,102547,399000,HOT
3645,SUZUKI,SWIFT,2009,233628,298000,HOT
3646,LUXGEN,U7 TURBO,2014,107399,398000,HOT
3647,MITSUBISHI,FORTIS,2011,105570,218000,HOT
3648,TOYOTA,AURIS,2019,25847,768000,HOT
3649,MAZDA,MAZDA3 5門,2015,60584,628000,HOT
3650,FORD,ESCAPE,2013,151464,308000,HOT
3651,HYUNDAI,IX35,2013,124102,388000,HOT
3652,SUZUKI,SWIFT,2007,131584,238000,HOT
3653,AUDI,A3,2018,32929,988000,HOT
3654,MAZDA,MAZDA 3,2018,31030,688000,HOT
3655,BMW,X3,2008,151139,328000,HOT
3656,MAZDA,MAZDA 3,2016,33619,688000,HOT
3657,HONDA,CIVIC,2010,88094,358000,HOT
3658,M-BENZ,CLA250,2015,63984,1150000,HOT
3659,BMW,435I GRAN COUPE,2015,121126,1480000,HOT
3660,MAZDA,MAZDA 5,2007,154930,198000,HOT
3661,NISSAN,KICKS,2019,15495,688000,HOT
3662,HYUNDAI,ELANTRA,2014,122573,488000,HOT
3663,TOYOTA,WISH,2006,141236,230000,HOT
3664,TOYOTA,YARIS,2007,116467,248000,HOT
3665,NISSAN,LIVINA,2010,119940,268000,HOT
3666,HONDA,CR-V,2018,77206,865000,HOT
3667,TOYOTA,YARIS,2010,133200,288000,HOT
3668,TOYOTA,ALTIS,2011,215089,298000,HOT
3669,TOYOTA,RAV4,2017,87974,698000,HOT
3670,MITSUBISHI,DELICA,2012,150574,258000,HOT
3671,NISSAN,MARCH,2012,191565,240000,HOT
3672,NISSAN,CABSTAR,2006,232442,198000,HOT
3673,TOYOTA,CAMRY,2008,130275,309000,HOT
3674,HYUNDAI,PORTER,2012,199738,269000,HOT
3675,NISSAN,TIIDA,2017,56574,428000,HOT
3676,BMW,428I GRAN COUPE,2014,107415,1288000,HOT
3677,VOLKSWAGEN,CADDY,2018,35770,798000,HOT
3678,HYUNDAI,PORTER,2016,75815,425000,HOT
3679,FORD,RANGER,2014,192336,699000,HOT
3680,MITSUBISHI,VERYCA,2015,85445,275000,HOT
3681,TOYOTA,YARIS,2007,220145,218000,HOT
3682,BMW,X系列,2012,85859,1280000,HOT
3683,MAZDA,MAZDA 3,2009,70152,228000,HOT
3684,SUZUKI,SWIFT,2006,162023,168000,HOT
3685,HONDA,ODYSSEY,2012,67602,828000,HOT
3686,FORD,FOCUS,2018,34076,728000,HOT
3687,NISSAN,370Z,2013,58516,868000,HOT
3688,HONDA,CIVIC,2006,194895,198000,HOT
3689,M-BENZ,C230,2004,166448,228000,HOT
3690,TOYOTA,CAMRY,2016,147185,650000,HOT
3691,M-BENZ,S350,2010,157945,738000,HOT
3692,MITSUBISHI,DELICA,2009,113408,198000,HOT
3693,SMART,FORFOUR,2015,40029,468000,HOT
3694,FORD,FOCUS,2013,138692,278000,HOT
3695,BMW,5 SERIES SEDAN,2011,151550,798000,HOT
3696,HONDA,HR-V,2016,122118,508000,HOT
3697,LUXGEN,U7 TURBO,2014,103155,298000,HOT
3698,TOYOTA,ALTIS,2007,97372,198000,HOT
3699,MAZDA,CX-9,2012,191391,328000,HOT
3700,TOYOTA,CAMRY,2007,206554,238000,HOT
3701,MITSUBISHI,COLT PLUS,2015,66699,298000,HOT
3702,NISSAN,SENTRA,2014,125265,298000,HOT
3703,VOLKSWAGEN,GOLF,2015,27944,678000,HOT
3704,MITSUBISHI,COLT PLUS,2014,189105,268000,HOT
3705,MITSUBISHI,LANCER FORTIS,2009,182757,280000,HOT
3706,BMW,428I,2015,60471,1280000,HOT
3707,HONDA,FIT,2015,153557,399999,HOT
3708,TOYOTA,WISH,2006,271219,198000,HOT
3709,HYUNDAI,ELANTRA,2015,75898,480000,HOT
3710,HYUNDAI,IX35,2011,147630,260000,HOT
3711,M-BENZ,E200,2012,66849,859000,HOT
3712,FORD,I-MAX,2008,89973,235000,HOT
3713,LUXGEN,U7 TURBO,2014,63855,358000,HOT
3714,MITSUBISHI,CANTER,2007,187284,630000,HOT
3715,MITSUBISHI,DELICA,2014,154717,265000,HOT
3716,TOYOTA,YARIS,2008,179780,268000,HOT
3717,TOYOTA,ALTIS,2005,211376,118000,HOT
3718,VOLKSWAGEN,GOLF GTI,2005,239089,238000,HOT
3719,TOYOTA,WISH,2013,82513,438000,HOT
3720,MITSUBISHI,FORTIS,2018,30671,538000,HOT
3721,NISSAN,SENTRA,2018,53341,468000,HOT
3722,TOYOTA,WISH,2012,123480,338000,HOT
3723,TOYOTA,PRIUS,2014,98164,558000,HOT
3724,TOYOTA,VIOS,2016,120024,338000,HOT
3725,HONDA,HR-V,2017,100696,599000,HOT
3726,HYUNDAI,PORTER,2019,94667,495000,HOT
3727,NISSAN,LIVINA,2011,256995,198000,HOT
3728,HONDA,FIT,2011,154269,338000,HOT
3729,TOYOTA,ZACE,2006,206316,168000,HOT
3730,BMW,523I,2010,109984,638000,HOT
3731,BMW,X4 XDRIVE28I,2016,92195,1380000,HOT
3732,BMW,X4 XDRIVE35I,2016,173747,1500000,HOT
3733,TOYOTA,VIOS,2016,91461,378000,HOT
3734,TOYOTA,WISH,2006,136380,238000,HOT
3735,TOYOTA,VIOS,2015,137012,290000,HOT
3736,TOYOTA,VIOS,2007,145313,148000,HOT
3737,TOYOTA,ALTIS,2011,115352,249000,HOT
3738,LEXUS,ES300h,2017,61321,1138000,HOT
3739,AUDI,A3 SPORTBACK,2009,73712,488000,HOT
3740,LUXGEN,7 SUV,2012,95792,288000,HOT
3741,TOYOTA,WISH,2012,113619,428000,HOT
3742,VOLVO,XC60,2012,149215,588000,HOT
3743,BMW,X5,2009,107261,598000,HOT
3744,TOYOTA,YARIS,2007,213522,238000,HOT
3745,TOYOTA,ALTIS,2015,57885,498000,HOT
3746,BMW,335I,2013,72105,998000,HOT
3747,NISSAN,LIVINA,2012,107157,238000,HOT
3748,MITSUBISHI,CANTER,2012,126744,820000,HOT
3749,TOYOTA,ZACE SURF,2005,192727,228000,HOT
3750,M-BENZ,GLA200,2014,44309,958000,HOT
3751,MAZDA,MAZDA 6,2017,143891,645000,HOT
3752,MINI,COOPER COUNTRY MAN,2013,172048,638000,HOT
3753,PORSCHE,CAYENNE,2013,279686,1280000,HOT
3754,TOYOTA,YARIS,2015,68245,488000,HOT
3755,VOLKSWAGEN,GOLF GTI,2011,90807,688000,HOT
3756,LEXUS,ES350,2008,147910,458000,HOT
3757,M-BENZ,B180,2015,80647,690000,HOT
3758,FORD,FIESTA,2013,68006,288000,HOT
3759,FORD,FOCUS,2017,62232,708000,HOT
3760,SUZUKI,SWIFT,2006,268525,198000,HOT
3761,HONDA,CR-V,2013,235909,458000,HOT
3762,MITSUBISHI,VERYCA,2019,11605,425000,HOT
3763,NISSAN,KICKS,2019,55901,628000,HOT
3764,HONDA,CR-V,2004,203151,188000,HOT
3765,HONDA,CR-V,2015,106543,528000,HOT
3766,MAZDA,MAZDA3 5門,2011,119193,278000,HOT
3767,PORSCHE,CAYENNE,2011,114897,1098000,HOT
3768,TOYOTA,WISH,2015,83849,498000,HOT
3769,M-BENZ,A250,2014,126758,1100000,HOT
3770,BMW,430I GRAN COUPE,2017,55067,1680000,HOT
3771,TOYOTA,WISH,2006,255117,228000,HOT
3772,HYUNDAI,ELANTRA,2013,110247,458000,HOT
3773,TOYOTA,CAMRY,2011,70527,328000,HOT
3774,HYUNDAI,PORTER,2014,119525,368000,HOT
3775,BMW,X5,2010,155243,588000,HOT
3776,TOYOTA,YARIS,2010,216687,260000,HOT
3777,TOYOTA,ALTIS,2013,101334,488000,HOT
3778,BMW,X5,2008,151825,538000,HOT
3779,INFINITI,G35,2004,138047,98000,HOT
3780,TOYOTA,WISH,2005,208011,198000,HOT
3781,VOLKSWAGEN,GOLF GTI,2005,278114,238000,HOT
3782,HYUNDAI,ELANTRA,2014,93322,488000,HOT
3783,TOYOTA,YARIS,2020,7,538000,HOT
3784,TOYOTA,CAMRY HYBRID,2017,37571,769000,HOT
3785,VOLKSWAGEN,GOLF,2018,54473,1598000,HOT
3786,M-BENZ,C300,2015,58269,1180000,HOT
3787,FORD,MONDEO,2009,322161,178000,HOT
3788,VOLKSWAGEN,PASSAT,2011,131283,298000,HOT
3789,BMW,120I,2009,122566,398000,HOT
3790,SUBARU,FORESTER,2013,116028,558000,HOT
3791,FORD,KUGA,2017,51370,598000,HOT
3792,SUZUKI,SWIFT,2006,233166,168000,HOT
3793,MITSUBISHI,DELICA,2016,82480,418000,HOT
3794,SUZUKI,SWIFT,2014,109342,438000,HOT
3795,TOYOTA,VIOS,2009,183263,178000,HOT
3796,TOYOTA,VIOS,2010,177739,178000,HOT
3797,MITSUBISHI,DELICA,2017,39058,388000,HOT
3798,BMW,320I,2009,123497,588000,HOT
3799,MITSUBISHI,LANCER FORTIS,2015,97328,378000,HOT
3800,MAZDA,MAZDA3 5門,2014,94361,378000,HOT
3801,M-BENZ,C200,2004,232499,248000,HOT
3802,MITSUBISHI,VERYCA,2011,131627,450000,HOT
3803,MAZDA,MAZDA 5,2007,248965,288000,HOT
3804,TOYOTA,CAMRY,2007,206692,268000,HOT
3805,TOYOTA,YARIS,2007,130750,228000,HOT
3806,TOYOTA,RAV4,2009,275068,288000,HOT
3807,SKODA,YETI,2014,133828,398000,HOT
3808,BMW,X6,2009,167866,750000,HOT
3809,SUZUKI,SWIFT,2008,170463,268000,HOT
3810,TOYOTA,ALTIS,2013,138587,269000,HOT
3811,NISSAN,TEANA,2010,186206,208000,HOT
3812,TOYOTA,INNOVA,2013,99140,338000,HOT
3813,VOLKSWAGEN,GOLF,2010,150017,368000,HOT
3814,HYUNDAI,I10,2013,182431,198000,HOT
3815,MITSUBISHI,VERYCA,2008,151939,198000,HOT
3816,MAZDA,MAZDA 3,2014,80633,318000,HOT
3817,TOYOTA,YARIS,2012,131140,268000,HOT
3818,TOYOTA,WISH,2015,91549,399000,HOT
3819,MITSUBISHI,ZINGER,2015,53738,328000,HOT
3820,NISSAN,LIVINA,2013,70910,238000,HOT
3821,MAZDA,MAZDA 3,2016,50264,628000,HOT
3822,M-BENZ,E200,2000,193548,158000,HOT
3823,TOYOTA,PRIUS,2012,183750,418000,HOT
3824,MITSUBISHI,DELICA,2009,180969,225000,HOT
3825,KIA,KAON,2019,32334,528000,HOT
3826,TOYOTA,YARIS,2011,137230,328000,HOT
3827,M-BENZ,GLC 300,2016,103721,1499000,HOT
3828,TOYOTA,SIENTA,2017,58910,458000,HOT
3829,TOYOTA,VIOS,2013,136741,299999,HOT
3830,HYUNDAI,ELANTRA,2012,109095,358000,HOT
3831,VOLKSWAGEN,GOLF,2008,184394,198000,HOT
3832,SUZUKI,SWIFT,2006,75024,198000,HOT
3833,FORD,FOCUS 五門,2005,148189,128000,HOT
3834,TOYOTA,CAMRY,2016,113540,558000,HOT
3835,TOYOTA,ALTIS,2008,260111,226000,HOT
3836,MITSUBISHI,ZINGER,2017,44683,368000,HOT
3837,M-BENZ,C300,2010,113614,498000,HOT
3838,VOLKSWAGEN,GOLF,2008,169365,238000,HOT
3839,LEXUS,IS250,2005,257372,268000,HOT
3840,HONDA,CR-V,2009,181395,310000,HOT
3841,LEXUS,RX350,2011,110217,600000,HOT
3842,TOYOTA,PREVIA,2012,80865,720000,HOT
3843,LEXUS,ES300h,2014,100816,780000,HOT
3844,BMW,520D,2014,107477,780000,HOT
3845,MITSUBISHI,VERYCA,2011,124349,198000,HOT
3846,MITSUBISHI,DELICA,2011,193340,278000,HOT
3847,DFSK,FUWIN,2019,9469,495000,HOT
3848,VOLKSWAGEN,POLO,2012,155934,288000,HOT
3849,M-BENZ,C300,2009,135715,528000,HOT
3850,BMW,6 SERIES SEDAN,2016,54174,1690000,HOT
3851,TOYOTA,YARIS,2010,156711,268000,HOT
3852,MITSUBISHI,VERYCA,2017,21535,348000,HOT
3853,TOYOTA,ALTIS,2011,220678,300000,HOT
3854,TOYOTA,ALTIS,2007,180246,178000,HOT
3855,HYUNDAI,TUCSON,2017,16166,688000,HOT
3856,NISSAN,LIVINA,2010,140976,258000,HOT
3857,LEXUS,IS300h,2015,53057,1050000,HOT
3858,FORD,FOCUS 五門,2011,136830,250000,HOT
3859,TOYOTA,CAMRY,2010,202193,250000,HOT
3860,TOYOTA,ALTIS,2011,174206,240000,HOT
3861,LEXUS,ES350,2009,122487,288000,HOT
3862,TOYOTA,ALTIS,2015,97019,390000,HOT
3863,HONDA,CR-V,2014,106379,548000,HOT
3864,HYUNDAI,IX35,2012,113723,368000,HOT
3865,MITSUBISHI,VERYCA,2016,23086,328000,HOT
3866,TOYOTA,RAV4,2012,168222,400000,HOT
3867,TOYOTA,AURIS,2018,64118,770000,HOT
3868,AUDI,A3,2015,80879,868000,HOT
3869,MAZDA,MAZDA 3,2010,39469,298000,HOT
3870,TOYOTA,VIOS,2006,247138,138000,HOT
3871,SUZUKI,SWIFT,2007,122209,238000,HOT
3872,M-BENZ,C250,2013,225247,728000,HOT
3873,TOYOTA,CAMRY HYBRID,2012,110375,550000,HOT
3874,MITSUBISHI,VERYCA,2016,108129,328000,HOT
3875,TOYOTA,ALTIS,2020,17,658000,HOT
3876,INFINITI,G35,2007,226105,298000,HOT
3877,HONDA,CR-V,2014,167459,498000,HOT
3878,TOYOTA,ALTIS,2011,183139,310000,HOT
3879,TOYOTA,ZACE SURF,2005,160466,139000,HOT
3880,HONDA,CIVIC,2010,172634,368000,HOT
3881,TOYOTA,WISH,2015,72477,508000,HOT
3882,SUZUKI,SOLIO,2006,161768,158000,HOT
3883,SUZUKI,SWIFT,2006,195507,198000,HOT
3884,M-BENZ,E200,2014,164906,970000,HOT
3885,BMW,X5,2008,133259,498000,HOT
3886,M-BENZ,B180,2019,13552,1368000,HOT
3887,MITSUBISHI,SAVRIN,2005,192766,138000,HOT
