,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
10530,Suzuki,Jimny,2003,210000,138000,8891
10531,Luxgen,U6 GT,2018,51000,628000,8891
10532,Audi,A1,2015,40000,0,8891
10533,Suzuki,SX4,2009,151000,238000,8891
10534,Audi,A4 Sedan,2016,10000,958000,8891
10535,Luxgen,U6 Turbo,2014,54000,325000,8891
10536,Toyota,Sienna,2015,100000,1080000,8891
10537,Luxgen,7 SUV,2011,100000,208000,8891
10538,Toyota,Wish,2016,138000,528000,8891
10539,Volkswagen,Tiguan,2008,110000,258000,8891
10540,Mitsubishi,Veryca,2015,150000,268000,8891
10541,Hyundai,Matrix,2008,160000,100000,8891
10542,Mazda,5,2010,80000,238000,8891
10543,Honda,HR-V,2020,26000,628000,8891
10544,BMW,1-Series Hatchback,2013,100000,588000,8891
10545,Honda,CR-V,2009,190000,278000,8891
10546,Lexus,NX,2017,30000,1388000,8891
10547,Hyundai,I30,2010,187000,248000,8891
10548,Toyota,Corolla Altis,2010,149000,268000,8891
10549,Mini,Countryman S,2017,39000,1268000,8891
10550,Nissan,Tiida,2011,170000,208000,8891
10551,Honda,CR-V,2015,76000,618000,8891
10552,Volkswagen,Tiguan,2019,17000,1120000,8891
10553,BMW,X4,2019,25000,0,8891
10554,Toyota,Sienna,2013,130000,898000,8891
10555,Lexus,ES,2013,72000,738000,8891
10556,Honda,CR-V,2014,69000,588000,8891
10557,Ford,Mondeo,2014,130000,268000,8891
10558,Mitsubishi,Colt Plus,2013,60000,198000,8891
10559,Infiniti,QX60,2013,50000,698000,8891
10560,Luxgen,U7 Turbo,2013,96000,308000,8891
10561,BMW,3-Series Sedan,2003,80000,178000,8891
10562,Mitsubishi,Lancer Fortis,2009,150000,110000,8891
10563,Volkswagen,T5 Caravelle,2012,174000,588000,8891
10564,Toyota,Vios,2009,170000,88000,8891
10565,Lexus,CT,2017,160000,0,8891
10566,BMW,7-Series,2002,112000,219000,8891
10567,Mitsubishi,Savrin,2009,150000,178000,8891
10568,Isuzu,Elf,2008,230000,358000,8891
10569,Mazda,3,2010,90000,258000,8891
10570,Toyota,Yaris,2021,4,548000,8891
10571,BMW,3-Series Touring,2019,26000,2380000,8891
10572,Toyota,RAV4,2009,200000,298000,8891
10573,Ford,Ranger,2019,24000,1238000,8891
10574,Mitsubishi,Grunder,2011,155000,198000,8891
10575,Volvo,XC60,2013,80000,698000,8891
10576,Toyota,Yaris,2008,145000,198000,8891
10577,Ford,Fiesta,2016,70000,400000,8891
10578,Volkswagen,Tiguan,2011,250000,368000,8891
10579,Toyota,Camry Hybrid,2018,70000,738000,8891
10580,Hyundai,Elantra,2015,65000,468000,8891
10581,Mitsubishi,Outlander,2016,120000,428000,8891
10582,Toyota,Corolla Altis,2010,145000,268000,8891
10583,Mercedes-Benz,CLA,2014,107000,890000,8891
10584,Honda,CR-V,2015,99000,585000,8891
10585,Mazda,CX-9,2012,98000,258000,8891
10586,Mazda,5,2010,13000,298000,8891
10587,BMW,X4,2015,79000,1428000,8891
10588,Toyota,Corolla Altis,2010,170000,258000,8891
10589,Suzuki,Swift,2015,70000,378000,8891
10590,Hyundai,Porter,2016,120000,338000,8891
10591,Volkswagen,Golf,2012,120000,368000,8891
10592,BMW,5-Series Sedan,2017,30000,1583000,8891
10593,Mitsubishi,Canter,2012,143000,0,8891
10594,Mazda,3,2008,211000,158000,8891
10595,Volvo,XC60,2012,159000,528000,8891
10596,Toyota,Sienna,2011,152000,638000,8891
10597,Audi,A6,2011,126000,518000,8891
10598,Audi,Q5,2014,159000,638000,8891
10599,BMW,5-Series Sedan,2017,92000,1480000,8891
10600,Volkswagen,Passat,2011,152000,208000,8891
10601,Luxgen,7 MPV,2011,103000,238000,8891
10602,Mitsubishi,Lancer Fortis,2012,212000,268000,8891
10603,Volkswagen,Golf GTI,2018,59000,1168000,8891
10604,BMW,X1,2010,135000,488000,8891
10605,Mercedes-Benz,C-Class Sedan,2012,183000,618000,8891
10606,Mazda,5,2009,131000,218000,8891
10607,Mazda,3,2012,127000,248000,8891
10608,Audi,A4 Avant,2009,177000,438000,8891
10609,BMW,4-Series Coupe,2014,38000,1050000,8891
10610,Maserati,GranTurismo MC Stradale,2015,56000,2450000,8891
