,car_brand,car_model,car_year,car_mileage,car_price,source
213,BENZ,C-CLASS C300,2016,37000 ,1330000,UsedCar
214,TOYOTA,ALTIS 1.8,2012,240000 ,270000,UsedCar
215,TOYOTA,RAV-4 2.0,2020,4700 ,960000,UsedCar
216,FORD,MONDEO 2.0,2011,149000 ,230000,UsedCar
217,PORSCHE,CAYENNE 3.6,2014,83024 ,1310000,UsedCar
218,VW,GOLF 1.2,2016,61374 ,520000,UsedCar
219,LEXUS,NX SERIES 300,2019,15383 ,1570000,UsedCar
220,VW,VENTO 1.6,2016,20683 ,370000,UsedCar
221,TOYOTA,WISH 2.0,2012,98000 ,390000,UsedCar
222,TOYOTA,YARIS 1.5,2012,95000 ,290000,UsedCar
223,BMW,2 SERIES M235I,2015,91000 ,1190000,UsedCar
224,SKODA,CITIGO 1.0,2015,18680 ,310000,UsedCar
225,BMW,X3 SERIES X3 2.0,2013,118097 ,880000,UsedCar
226,TOYOTA,CAMRY 2.0,2008,180000 ,190000,UsedCar
227,BENZ,C-CLASS C300,2016,59685 ,1390000,UsedCar
228,BENZ,C-CLASS C300,2015,107705 ,1190000,UsedCar
229,BENZ,GLA-CLASS GLA250,2016,58683 ,1260000,UsedCar
230,BMW,5 SERIES 540,2017,39336 ,2090000,UsedCar
231,BMW,3 SERIES 328,2016,63350 ,1240000,UsedCar
232,BENZ,C-CLASS C300,2017,48515 ,1490000,UsedCar
233,TOYOTA,ALTIS 1.8,2006,82232 ,140000,UsedCar
234,MASERATI,LEVANTE 3.0,2017,37258 ,3180000,UsedCar
235,BENZ,GLA-CLASS GLA250,2017,38000 ,1360000,UsedCar
236,LEXUS,NX SERIES 200T,2015,32000 ,1190000,UsedCar
237,BENZ,CLA-CLASS CLA250,2018,30000 ,1560000,UsedCar
238,LEXUS,IS SERIES IS200T,2016,50000 ,1150000,UsedCar
239,BENZ,C-CLASS C300,2017,16000 ,1580000,UsedCar
240,BENZ,C-CLASS C300,2016,39000 ,1390000,UsedCar
241,BENZ,C-CLASS C300,2016,69000 ,1350000,UsedCar
242,BENZ,E-CLASS E300,2017,37000 ,1680000,UsedCar
243,BENZ,C-CLASS C300,2015,52000 ,1280000,UsedCar
244,BENZ,GLC-CLASS GLC 300,2018,25000 ,1850000,UsedCar
245,BENZ,GLC-CLASS GLC 300,2018,23000 ,1780000,UsedCar
246,LEXUS,IS SERIES IS200T,2016,73000 ,1120000,UsedCar
247,LEXUS,IS SERIES IS300,2019,26000 ,1280000,UsedCar
248,PORSCHE,BOXSTER 2.5,2017,33465 ,2980000,UsedCar
249,BENZ,C-CLASS C250,2016,63000 ,1290000,UsedCar
250,BENZ,C-CLASS C250,2014,53000 ,1180000,UsedCar
251,BENZ,CLA-CLASS CLA45 AMG,2017,34399 ,1890000,UsedCar
252,BENZ,GLC-CLASS GLC 300,2018,44929 ,1750000,UsedCar
253,BENZ,GLC-CLASS GLC 300,2018,40000 ,1950000,UsedCar
254,MITSUBISHI,GRAND LANCER 1.8,2018,45000 ,430000,UsedCar
255,BENZ,E-CLASS E300,2017,23000 ,1780000,UsedCar
256,HYUNDAI,VERNA 1.6,2017,15598 ,290000,UsedCar
257,LEXUS,RX SERIES RX 200T,2020,11972 ,2080000,UsedCar
258,LEXUS,RX SERIES RX 200T,2018,50000 ,1790000,UsedCar
259,HYUNDAI,MATRIX 1.6,2004,172275 ,60000,UsedCar
